rank,previous_position,trend,nation,nation_url,flag_url,nation_full_name,confederation,points,rank_date
1,9,up,,/deutschland/startseite/verein/3262,https://tmssl.akamaized.net//images/flagge/tiny/40.png?lm=1520612525,Germany,UEFA,57,1992-12-31
2,12,up,,/italien/startseite/verein/3376,https://tmssl.akamaized.net//images/flagge/tiny/75.png?lm=1520611569,Italy,UEFA,57,1992-12-31
3,5,up,,/brasilien/startseite/verein/3439,https://tmssl.akamaized.net//images/flagge/tiny/26.png?lm=1520611569,Brazil,CONMEBOL,56,1992-12-31
4,43,up,,/schweden/startseite/verein/3557,https://tmssl.akamaized.net//images/flagge/tiny/147.png?lm=1520611569,Sweden,UEFA,56,1992-12-31
5,4,down,,/england/startseite/verein/3299,https://tmssl.akamaized.net//images/flagge/tiny/189.png?lm=1520611569,England,UEFA,55,1992-12-31
6,59,up,,/irland/startseite/verein/3509,https://tmssl.akamaized.net//images/flagge/tiny/72.png?lm=1520611569,Republic of Ireland,UEFA,54,1992-12-31
7,7,stable,,/niederlande/startseite/verein/3379,https://tmssl.akamaized.net//images/flagge/tiny/122.png?lm=1520611569,Netherlands,UEFA,54,1992-12-31
8,33,up,,/russland/startseite/verein/3448,https://tmssl.akamaized.net//images/flagge/tiny/141.png?lm=1520611569,Russia,UEFA,52,1992-12-31
9,21,up,,/danemark/startseite/verein/3436,https://tmssl.akamaized.net//images/flagge/tiny/39.png?lm=1520611569,Denmark,UEFA,52,1992-12-31
10,2,down,,/argentinien/startseite/verein/3437,https://tmssl.akamaized.net//images/flagge/tiny/9.png?lm=1520611569,Argentina,CONMEBOL,51,1992-12-31
11,47,up,,/rumanien/startseite/verein/3447,https://tmssl.akamaized.net//images/flagge/tiny/140.png?lm=1520611569,Romania,UEFA,51,1992-12-31
12,17,up,,/schweiz/startseite/verein/3384,https://tmssl.akamaized.net//images/flagge/tiny/148.png?lm=1520611569,Switzerland,UEFA,51,1992-12-31
13,38,up,,/nigeria/startseite/verein/3444,https://tmssl.akamaized.net//images/flagge/tiny/124.png?lm=1520611569,Nigeria,CAF,50,1992-12-31
14,29,up,,/norwegen/startseite/verein/3440,https://tmssl.akamaized.net//images/flagge/tiny/125.png?lm=1520611569,Norway,UEFA,49,1992-12-31
15,1,down,,/spanien/startseite/verein/3375,https://tmssl.akamaized.net//images/flagge/tiny/157.png?lm=1520611569,Spain,UEFA,49,1992-12-31
16,16,stable,,/uruguay/startseite/verein/3449,https://tmssl.akamaized.net//images/flagge/tiny/179.png?lm=1520611569,Uruguay,CONMEBOL,48,1992-12-31
17,8,down,,/belgien/startseite/verein/3382,https://tmssl.akamaized.net//images/flagge/tiny/19.png?lm=1520611569,Belgium,UEFA,48,1992-12-31
18,,down,,/tschechoslowakei/startseite/verein/17202,https://tmssl.akamaized.net//images/flagge/tiny/220.png?lm=1520611569,Czechoslovakia (-1993),UEFA,47,1992-12-31
19,3,down,,/frankreich/startseite/verein/3377,https://tmssl.akamaized.net//images/flagge/tiny/50.png?lm=1520611569,France,UEFA,46,1992-12-31
20,31,up,,/polen/startseite/verein/3442,https://tmssl.akamaized.net//images/flagge/tiny/135.png?lm=1520611569,Poland,UEFA,46,1992-12-31
21,35,up,,/agypten/startseite/verein/3672,https://tmssl.akamaized.net//images/flagge/tiny/2.png?lm=1520611569,Egypt,CAF,45,1992-12-31
22,57,up,,/kamerun/startseite/verein/3434,https://tmssl.akamaized.net//images/flagge/tiny/31.png?lm=1520611569,Cameroon,CAF,43,1992-12-31
23,36,up,,/schottland/startseite/verein/3380,https://tmssl.akamaized.net//images/flagge/tiny/190.png?lm=1520611569,Scotland,UEFA,43,1992-12-31
24,14,down,,/vereinigte-staaten/startseite/verein/3505,https://tmssl.akamaized.net//images/flagge/tiny/184.png?lm=1520611569,United States,CONCACAF,43,1992-12-31
25,15,down,,/mexiko/startseite/verein/6303,https://tmssl.akamaized.net//images/flagge/tiny/110.png?lm=1520611569,Mexico,CONCACAF,43,1992-12-31
26,88,up,,/bulgarien/startseite/verein/3394,https://tmssl.akamaized.net//images/flagge/tiny/28.png?lm=1520611569,Bulgaria,UEFA,41,1992-12-31
27,42,up,,/elfenbeinkuste/startseite/verein/3591,https://tmssl.akamaized.net//images/flagge/tiny/38.png?lm=1520611569,Ivory Coast,CAF,41,1992-12-31
28,32,up,,/wales/startseite/verein/3864,https://tmssl.akamaized.net//images/flagge/tiny/191.png?lm=1520611569,Wales,UEFA,40,1992-12-31
29,,down,,/jugoslawien/startseite/verein/17335,https://tmssl.akamaized.net//images/flagge/tiny/223.png?lm=1520611569,Yugoslavia,UEFA,39,1992-12-31
30,34,up,,/algerien/startseite/verein/3614,https://tmssl.akamaized.net//images/flagge/tiny/4.png?lm=1520611569,Algeria,CAF,39,1992-12-31
31,46,up,,/griechenland/startseite/verein/3378,https://tmssl.akamaized.net//images/flagge/tiny/56.png?lm=1520611569,Greece,UEFA,38,1992-12-31
32,91,up,,/sambia/startseite/verein/3703,https://tmssl.akamaized.net//images/flagge/tiny/142.png?lm=1520611569,Zambia,CAF,38,1992-12-31
33,6,down,,/portugal/startseite/verein/3300,https://tmssl.akamaized.net//images/flagge/tiny/136.png?lm=1520611569,Portugal,UEFA,38,1992-12-31
34,24,down,,/osterreich/startseite/verein/3383,https://tmssl.akamaized.net//images/flagge/tiny/127.png?lm=1520611569,Austria,UEFA,38,1992-12-31
35,13,down,,/kolumbien/startseite/verein/3816,https://tmssl.akamaized.net//images/flagge/tiny/83.png?lm=1520611569,Colombia,CONMEBOL,36,1992-12-31
36,40,up,,/ungarn/startseite/verein/3468,https://tmssl.akamaized.net//images/flagge/tiny/178.png?lm=1521635893,Hungary,UEFA,36,1992-12-31
37,49,up,,/costa-rica/startseite/verein/8497,https://tmssl.akamaized.net//images/flagge/tiny/36.png?lm=1520611569,Costa Rica,CONCACAF,35,1992-12-31
38,41,up,,/tunesien/startseite/verein/3670,https://tmssl.akamaized.net//images/flagge/tiny/173.png?lm=1520611569,Tunisia,CAF,35,1992-12-31
39,72,up,,/ghana/startseite/verein/3441,https://tmssl.akamaized.net//images/flagge/tiny/54.png?lm=1520611569,Ghana,CAF,34,1992-12-31
40,65,up,,/honduras/startseite/verein/3590,https://tmssl.akamaized.net//images/flagge/tiny/66.png?lm=1699286249,Honduras,CONCACAF,32,1992-12-31
41,11,down,,/marokko/startseite/verein/3575,https://tmssl.akamaized.net//images/flagge/tiny/107.png?lm=1520611569,Morocco,CAF,32,1992-12-31
42,25,down,,/turkei/startseite/verein/3381,https://tmssl.akamaized.net//images/flagge/tiny/174.png?lm=1520611569,Turkiye,UEFA,31,1992-12-31
43,69,up,,/nordirland/startseite/verein/5674,https://tmssl.akamaized.net//images/flagge/tiny/192.png?lm=1520611569,Northern Ireland,UEFA,31,1992-12-31
44,75,up,,/finnland/startseite/verein/3443,https://tmssl.akamaized.net//images/flagge/tiny/49.png?lm=1520611569,Finland,UEFA,31,1992-12-31
45,26,down,,/australien/startseite/verein/3433,https://tmssl.akamaized.net//images/flagge/tiny/12.png?lm=1520611569,Australia,AFC,29,1992-12-31
46,74,up,,/island/startseite/verein/3574,https://tmssl.akamaized.net//images/flagge/tiny/73.png?lm=1520611569,Iceland,UEFA,29,1992-12-31
47,52,up,,/chile/startseite/verein/3700,https://tmssl.akamaized.net//images/flagge/tiny/33.png?lm=1520611569,Chile,CONMEBOL,28,1992-12-31
48,60,up,,/saudi-arabien/startseite/verein/3807,https://tmssl.akamaized.net//images/flagge/tiny/146.png?lm=1520611569,Saudi Arabia,AFC,28,1992-12-31
49,22,down,,/sudkorea/startseite/verein/3589,https://tmssl.akamaized.net//images/flagge/tiny/87.png?lm=1520611569,South Korea,AFC,28,1992-12-31
50,100,up,,/el-salvador/startseite/verein/13951,https://tmssl.akamaized.net//images/flagge/tiny/45.png?lm=1520611569,El Salvador,CONCACAF,28,1992-12-31
51,19,down,,/senegal/startseite/verein/3499,https://tmssl.akamaized.net//images/flagge/tiny/149.png?lm=1520611569,Senegal,CAF,27,1992-12-31
52,54,up,,/katar/startseite/verein/14162,https://tmssl.akamaized.net//images/flagge/tiny/137.png?lm=1520611569,Qatar,AFC,27,1992-12-31
53,126,up,,/malawi/startseite/verein/8988,https://tmssl.akamaized.net//images/flagge/tiny/102.png?lm=1520611569,Malawi,CAF,27,1992-12-31
54,129,up,,/simbabwe/startseite/verein/3583,https://tmssl.akamaized.net//images/flagge/tiny/187.png?lm=1520611569,Zimbabwe,CAF,27,1992-12-31
55,78,up,,/gabun/startseite/verein/5704,https://tmssl.akamaized.net//images/flagge/tiny/51.png?lm=1520611569,Gabon,CAF,27,1992-12-31
56,93,up,,/china/startseite/verein/5598,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,China,AFC,26,1992-12-31
57,27,down,,/kanada/startseite/verein/3510,https://tmssl.akamaized.net//images/flagge/tiny/80.png?lm=1520611569,Canada,CONCACAF,25,1992-12-31
58,169,up,,/bermuda/startseite/verein/15735,https://tmssl.akamaized.net//images/flagge/tiny/211.png?lm=1520611569,Bermuda,CONCACAF,25,1992-12-31
59,68,up,,/vereinigte-arabische-emirate/startseite/verein/5147,https://tmssl.akamaized.net//images/flagge/tiny/183.png?lm=1520611569,United Arab Emirates,AFC,25,1992-12-31
60,,down,,/zaire/startseite/verein/26440,https://tmssl.akamaized.net//images/flagge/tiny/254.png?lm=1520611569,Zaire,CAF,25,1992-12-31
61,20,down,,/iran/startseite/verein/3582,https://tmssl.akamaized.net//images/flagge/tiny/71.png?lm=1520611569,Iran,AFC,24,1992-12-31
62,98,up,,/trinidad-und-tobago/startseite/verein/7149,https://tmssl.akamaized.net//images/flagge/tiny/170.png?lm=1520611569,Trinidad and Tobago,CONCACAF,24,1992-12-31
63,81,up,,/guinea/startseite/verein/3856,https://tmssl.akamaized.net//images/flagge/tiny/59.png?lm=1520611569,Guinea,CAF,24,1992-12-31
